id,started,ended,realTime,Bomb Clip (1),Womps (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS,DDD (16),FS (Bowser),BLJS,BITS (Bowser)
149,2025-03-15 04:55:42,2025-03-15 05:16:54,00:21:11.5832973,00:01:39.4316994,00:03:33.9567120,00:02:17.9777954,00:02:37.3636006,00:01:36.4117653,00:00:33.9579300,00:01:20.1247064,00:00:48.3969914,00:00:53.2368509,00:01:38.6716688,00:01:05.3555538,00:03:06.6980233
150,2025-03-15 05:18:32,2025-03-15 05:19:38,,,,,,,,,,,,,
151,2025-03-15 05:19:47,2025-03-15 05:21:33,,,,,,,,,,,,,
152,2025-03-15 05:21:36,2025-03-15 05:23:22,,,,,,,,,,,,,
153,2025-03-15 05:23:25,2025-03-15 05:24:30,,,,,,,,,,,,,
154,2025-03-15 05:24:33,2025-03-15 05:26:18,,,,,,,,,,,,,
155,2025-03-15 05:26:20,2025-03-15 05:29:15,,00:01:46.0897443,,,,,,,,,,,
156,2025-03-15 05:29:18,2025-03-15 05:29:19,,,,,,,,,,,,,
157,2025-03-15 05:29:23,2025-03-15 05:30:26,,,,,,,,,,,,,
158,2025-03-15 05:30:27,2025-03-15 05:32:17,,,,,,,,,,,,,
159,2025-03-15 05:32:20,2025-03-15 05:33:21,,,,,,,,,,,,,
160,2025-03-15 05:33:24,2025-03-15 05:54:42,,00:01:39.3028309,00:03:59.1219227,00:01:41.8513294,00:02:17.3486416,00:01:34.8647415,00:00:36.7528990,00:01:21.8196391,00:01:23.3430323,00:00:48.2828358,00:01:36.7107891,00:02:44.6186327,
161,2025-03-15 05:54:44,2025-03-15 05:55:46,,,,,,,,,,,,,
162,2025-03-15 05:55:49,2025-03-15 05:56:51,,,,,,,,,,,,,
163,2025-03-15 05:56:53,2025-03-15 06:05:16,,00:01:48.6356323,00:03:40.7625409,00:01:27.7135479,,,,,,,,,
164,2025-03-15 06:05:19,2025-03-15 06:07:02,,,,,,,,,,,,,
165,2025-03-15 06:07:04,2025-03-15 06:08:44,,,,,,,,,,,,,
166,2025-03-15 06:09:36,2025-03-15 06:31:10,00:21:33.7240743,00:02:05.4717854,00:03:57.7742626,00:01:30.2645885,00:02:42.5700377,00:01:33.9987731,00:00:40.7601950,00:01:23.3605334,00:01:16.9317492,00:00:55.3728860,00:02:12.0357187,00:01:14.4836048,00:02:00.6999399
167,2025-03-15 06:32:16,2025-03-15 06:38:17,,00:01:56.1355257,,,,,,,,,,,
168,2025-03-15 23:31:59,2025-03-15 23:40:25,,00:01:40.8733885,00:03:49.7583915,00:01:28.1237255,,,,,,,,,
169,2025-03-15 23:40:30,2025-03-15 23:44:29,,00:01:47.7307974,,,,,,,,,,,
170,2025-03-15 23:44:47,2025-03-15 23:54:54,,00:01:54.1814571,00:03:36.8124207,00:01:50.1107317,,,,,,,,,
171,2025-03-15 23:54:56,2025-03-15 23:55:58,,,,,,,,,,,,,
172,2025-03-15 23:56:01,2025-03-15 23:57:48,,,,,,,,,,,,,
173,2025-03-15 23:57:51,2025-03-16 00:00:39,,00:02:00.5227031,,,,,,,,,,,
174,2025-03-16 00:00:41,2025-03-16 00:03:32,,00:02:03.2396840,,,,,,,,,,,
175,2025-03-16 00:03:35,2025-03-16 00:11:56,,00:01:38.1894009,00:03:37.5428614,00:01:43.5376576,,,,,,,,,
176,2025-03-16 00:11:59,2025-03-16 00:12:14,,,,,,,,,,,,,
177,2025-03-16 00:12:33,2025-03-16 00:16:16,,00:01:51.2815972,,,,,,,,,,,
178,2025-03-16 03:19:08,2025-03-16 03:19:22,,,,,,,,,,,,,
179,2025-03-16 03:19:40,2025-03-16 03:22:39,,00:01:54.3753220,,,,,,,,,,,
180,2025-03-16 03:22:42,2025-03-16 03:22:56,,,,,,,,,,,,,
181,2025-03-16 03:23:08,2025-03-16 03:44:05,00:20:57.5370771,00:01:54.7926614,00:03:34.1084711,00:01:32.1163363,00:02:25.4200555,00:01:49.7547351,00:00:39.6770777,00:01:22.5945122,00:01:03.7369112,00:00:55.7119334,00:01:49.6706487,00:01:08.1647397,00:02:41.7889948
182,2025-03-16 03:44:24,2025-03-16 03:45:28,,,,,,,,,,,,,
183,2025-03-16 03:45:30,2025-03-16 03:47:52,,,,,,,,,,,,,
184,2025-03-16 03:47:56,2025-03-16 04:08:39,00:20:43.2308745,00:01:38.9967591,00:03:40.0493960,00:01:34.0607658,00:02:27.8076885,00:01:37.4538524,00:00:38.2557467,00:01:37.6248128,00:01:03.0471694,00:00:48.1705530,00:01:45.1475401,00:01:38.6581948,00:02:13.9583959
185,2025-03-16 04:09:26,2025-03-16 04:10:31,,,,,,,,,,,,,
186,2025-03-16 04:10:33,2025-03-16 04:30:06,,00:01:47.1195862,00:03:36.4554706,00:01:29.2674989,00:02:19.3148306,00:01:32.1648267,00:00:35.9548685,00:01:21.8672850,00:00:48.7035104,00:00:49.4138206,00:01:44.6697780,00:01:45.5700232,
187,2025-03-16 04:30:09,2025-03-16 04:31:11,,,,,,,,,,,,,
188,2025-03-16 04:31:13,2025-03-16 04:44:51,,00:01:40.3167518,00:03:50.0864494,00:01:28.7337835,00:02:36.2793963,00:01:31.1311802,00:00:38.1049464,00:01:42.2825133,,,,,
189,2025-03-16 04:44:53,2025-03-16 04:46:01,,,,,,,,,,,,,
190,2025-03-16 04:46:03,2025-03-16 05:12:36,00:26:32.9482105,00:01:38.9728115,00:03:40.5696715,00:01:36.9845205,00:02:28.3365003,00:01:29.5898080,00:00:35.8410377,00:01:27.5947911,00:00:55.2255433,00:00:47.4711540,00:01:38.8069517,00:01:10.8691996,00:09:02.6862213
191,2025-03-17 21:56:42,2025-03-17 21:57:45,,,,,,,,,,,,,
192,2025-03-17 21:57:47,2025-03-17 22:09:19,,00:01:47.3636030,00:03:46.3405566,00:01:32.4727412,00:02:27.6925744,00:01:55.2805272,,,,,,,
193,2025-03-17 22:13:40,2025-03-17 22:15:21,,,,,,,,,,,,,
194,2025-03-17 22:15:24,2025-03-17 22:37:39,00:22:14.5752107,00:01:37.9817641,00:03:24.4892054,00:01:31.1417722,00:02:23.3268167,00:01:28.1765677,00:00:35.7963376,00:01:36.7835381,00:00:42.6539016,00:01:01.7297366,00:03:22.2694952,00:01:52.3936453,00:02:37.8324302
195,2025-03-17 22:44:37,2025-03-17 22:46:19,,,,,,,,,,,,,
196,2025-03-17 22:46:22,2025-03-17 22:49:14,,00:01:58.9548127,,,,,,,,,,,
197,2025-03-17 22:49:17,2025-03-17 22:51:06,,,,,,,,,,,,,
198,2025-03-17 22:56:37,2025-03-17 22:57:40,,,,,,,,,,,,,
