id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
176,2024-08-09 11:00:10,2024-08-09 11:02:08,,,,,,,,,,,,
177,2024-08-09 11:02:08,2024-08-09 11:04:29,,00:01:34.3279514,,,,,,,,,,
178,2024-08-09 11:04:29,2024-08-09 11:08:10,,00:01:34.6198986,,,,,,,,,,
179,2024-08-09 11:08:10,2024-08-09 11:09:12,,,,,,,,,,,,
180,2024-08-09 11:09:12,2024-08-09 11:11:59,,00:01:33.7057619,,,,,,,,,,
181,2024-08-09 11:11:59,2024-08-09 11:20:38,,00:01:35.0170295,00:02:58.5537635,00:01:16.7674117,00:01:56.3529532,,,,,,,
182,2024-08-09 11:20:38,2024-08-09 11:20:47,,,,,,,,,,,,
183,2024-08-09 11:20:47,2024-08-09 11:29:52,,00:01:33.8842819,00:02:57.1960398,00:01:16.7287079,00:01:52.5372899,,,,,,,
184,2024-08-09 11:29:52,2024-08-09 11:30:53,,,,,,,,,,,,
185,2024-08-09 11:30:53,2024-08-09 11:32:31,,,,,,,,,,,,
186,2024-08-09 11:32:31,2024-08-09 11:47:45,,00:01:33.7984599,00:03:07.8564780,00:01:16.1649388,00:01:52.1542739,00:01:26.2481398,00:01:07.1488623,00:00:43.5359360,00:01:09.5438993,00:00:42.1835108,00:01:25.9121053,
187,2024-08-09 11:47:45,2024-08-09 11:47:54,,,,,,,,,,,,
188,2024-08-09 11:47:54,2024-08-09 11:49:30,,,,,,,,,,,,
189,2024-08-09 11:49:30,2024-08-09 11:49:37,,,,,,,,,,,,
190,2024-08-09 11:49:37,2024-08-09 11:52:25,,00:01:34.0356750,,,,,,,,,,
191,2024-08-09 11:52:25,2024-08-09 11:55:15,,00:01:33.6140877,,,,,,,,,,
192,2024-08-09 11:55:15,2024-08-09 11:56:16,,,,,,,,,,,,
193,2024-08-09 11:56:16,2024-08-09 12:11:58,,00:01:33.9863121,00:02:57.8890043,00:01:17.5733026,00:01:58.2294474,00:01:24.8344842,00:00:58.3642490,00:00:43.2331980,00:00:45.3446766,00:00:43.7469128,00:01:34.7929489,
194,2024-08-09 12:11:58,2024-08-09 12:12:10,,,,,,,,,,,,
195,2024-08-09 12:12:10,2024-08-09 12:12:35,,,,,,,,,,,,
196,2024-08-09 12:12:35,2024-08-09 12:14:43,,,,,,,,,,,,
197,2024-08-09 12:14:43,2024-08-09 12:15:44,,,,,,,,,,,,
198,2024-08-09 12:15:44,2024-08-09 12:21:59,,00:01:33.7488584,00:03:00.5023943,00:01:25.9533728,,,,,,,,
199,2024-08-09 12:21:59,2024-08-09 12:24:23,,00:01:36.7012222,,,,,,,,,,
200,2024-08-09 12:24:23,2024-08-09 12:24:31,,,,,,,,,,,,
201,2024-08-09 12:24:31,2024-08-09 12:26:52,,00:01:33.8519697,,,,,,,,,,
202,2024-08-09 12:26:52,2024-08-09 12:27:53,,,,,,,,,,,,
203,2024-08-09 12:27:53,2024-08-09 12:30:52,,00:01:34.0236431,,,,,,,,,,
204,2024-08-09 12:30:52,2024-08-09 12:32:18,,,,,,,,,,,,
205,2024-08-09 12:32:18,2024-08-09 12:33:46,,,,,,,,,,,,
